Serie,Modelo,Ubicación,Estatus,Fecha_Registro,Ultimo_Movimiento,Canal
92581072A,V12,En patios,Para Reparar,2026-09-18 14:43:27,2026-06-18,Tradicional
12590452,V27,En taller,Para Reparar,2026-09-18 14:44:22,2026-08-20,Tradicional
343782,VENDING,En almacén de Comodatos,Reparado,2026-09-18 14:45:36,2026-09-18,Vending
02580649A,HIDRO,Uso Interno,En Uso,2026-09-18 14:45:58,2026-09-18,AP20L
22201200X,V25,En proceso de Baja,Para Baja,2026-09-18 14:46:14,2026-09-18,Tradicional
92320962Y,V25,En almacén de Comodatos,Reparado,2026-09-18 14:46:26,2026-09-18,Tradicional
42490300Z,V9,En almacén de Publicidad,Nuevo,2026-09-18 14:47:02,2026-04-04,Tradicional
52630324B,V12,Uso Interno,En Uso,2026-09-18 14:47:18,2026-09-18,Tradicional
K52240800014,VR04,Uso Interno,En Uso,2026-09-18 14:47:33,2026-09-18,Tradicional
02540698B,HIDRO,Uso Interno,En Uso,2026-09-18 14:47:48,2026-09-18,AP20L
12280799B,HIDRO,Uso Interno,En Uso,2026-09-18 14:48:01,2026-09-18,AP20L
42230790A,HIDRO,Uso Interno,En Uso,2026-09-18 14:48:16,2026-09-18,AP20L
32456298Q,V17,En almacén de Comodatos,Reparado,2026-07-30,2026-07-08,Tradicional
